spanish_frequency_5000
,,,
rank,word,pos,definition
932,pasado,adj,"past, last"
933,radio,nmf,"radio; set (m), communication (f)"
934,emplear,v,to employ
935,máximo,adj,maximum
936,sorprender,v,to surprise
937,detalle,nm,detail
938,puro,adj,"pure, clean"
939,disfrutar,v,to enjoy
940,barrio,nm,"neighborhood, district"
941,sentimiento,nm,"feeling, sentiment"
942,espalda,nf,back (body)
943,fe,nf,faith
944,distancia,nf,distance
945,calor,nm,"heat, warmth"
946,conciencia,nf,"conscience, consciousness"
947,reunión,nf,"meeting, reunion"
948,finalmente,adv,"finally, at last"
949,sonar,v,"to sound, ring"
950,defensa,nf,"defense, plea"
951,justicia,nf,"justice, fairness"
952,cine,nm,"cinema, movie theater"
953,existencia,nf,"existence, life"
954,grado,nm,"degree, grade"
955,ganas,nf,desire
956,plantear,v,"to propose, present"
957,madera,nf,wood
958,menudo,adv,a m.: often
959,probar,v,"to test, prove, try"
960,destino,nm,"destination, destiny"
961,café,nm,"coffee, cafe"
962,contenido,nm,"contents, content"
963,cincuenta,num,fifty
964,pintura,nf,"painting, paint"
965,marido,nm,husband
966,diario,nm,newspaper
967,recorrer,v,"to travel, cover (distance)"
968,hallar,v,to find (out)
969,poseer,v,"to possess, own"
970,altura,nf,"height, altitude"
971,pecho,nm,"chest, breast"
972,costumbre,nf,"habit, custom, usage"
973,recién,adv,"recently, just"
974,estrella,nf,star
975,mente,nf,mind
976,declarar,v,"to declare, testify"
977,letra,nf,"letter, handwriting, lyrics"
978,sonreír,v,to smile
979,creación,nf,creation
980,hermoso,adj,"beautiful, lovely"
981,advertir,v,"to notice, warn"
982,canción,nf,song
983,método,nm,method
984,república,nf,republic
985,reforma,nf,"reform, improvement"
986,lluvia,nf,rain
987,esperanza,nf,hope
988,tío,nm,"uncle, guy"
989,conversación,nf,conversation
990,influencia,nf,influence
991,nueve,num,nine
992,instante,nm,"instant, moment"
993,marcar,v,"to mark, note, dial"
994,controlar,v,to control
995,tarea,nf,"task, job"
996,documento,nm,document
997,famoso,adj,"famous, well known"
998,conducir,v,"to lead, drive"
999,prensa,nf,press
1000,normal,adj,"normal, usual, regular"
1001,coger,v,"to hold, take, catch"
1002,suyo,pron,"his, hers, yours (−fam), theirs"
1003,tratamiento,nm,"treatment, processing"
1004,conservar,v,"to conserve, preserve"
1005,raro,adj,"strange, rare, scarce"
1006,puesto,nm,"job, place, position"
1007,retirar,v,"to take away, retire"
1008,exterior,adj,"exterior, outside"
1009,ay,interj,"oh no!, oh my!"
1010,acá,adv,"here, around here"
1011,campaña,nf,campaign
1012,vuelta,nf,"return, turn"
1013,particular,adj,"particular, peculiar"
1014,operación,nf,operation
1015,usuario,nm/f,user
1016,industria,nf,"industry, factory"
1017,cuadro,nm,"painting, picture"
1018,alimento,nm,"food, nourishment"
1019,jugador,nm/f,"player, gambler"
1020,frío,adj,cold
1021,crecimiento,nm,"growth, increase"
1022,aplicación,nf,application
1023,organismo,nm,"organism, (human) body"
1024,conflicto,nm,conflict
1025,optimista,adj,optimistic
1026,periódico,nm,"newspaper, periodical"
1027,atender,v,"to serve, attend to"
1028,añadir,v,to add
1029,directo,adj,"direct, straight"
1030,impedir,v,"to prevent, hinder"
1031,cristiano,adj,Christian
1032,argentino,adj,Argentine
1033,determinar,v,"to determine, decide"
1034,ruido,nm,noise
1035,junio,nm,June
1036,frase,nf,phrase
1037,actualmente,adv,"now, at present"
1038,sensación,nf,"sensation, feeling"
1039,venta,nf,sale
1040,sonido,nm,sound
1041,característica,nf,"characteristic, aspect"
1042,cerca,adv,"close, near"
1043,instrumento,nm,instrument
1044,bello,adj,"beautiful, fine"
1045,visión,nf,vision
1046,sonrisa,nf,smile
1047,factor,nm,"factor, cause, influence"
1048,tecnología,nf,technology
1049,convencer,v,"to convince, persuade"
1050,hospital,nm,hospital
1051,voluntad,nf,"will, willpower, intention"
1052,definir,v,to define
1053,organizar,v,to organize
1054,poeta,nc,poet
1055,corto,adj,"short, brief"
1056,firmar,v,to sign
1057,versión,nf,"version, account"
1058,pleno,adj,"complete, full"
1059,similar,adj,similar
1060,labio,nm,lip
1061,tradición,nf,tradition
1062,cliente,nc,"client, customer"
1063,luchar,v,"to fight, wrestle"
1064,abril,nm,April
1065,análisis,nm,analysis
1066,enemigo,nm/f,enemy
1067,científico,adj,scientific
1068,grito,nm,"cry, shout, scream"
1069,habitación,nf,"room, bedroom, habitat"
1070,olor,nm,"smell, odor, fragrance"
1071,estadounidense,adj,"U.S., American"
1072,oficina,nf,office
1073,tranquilo,adj,"calm, tranquil, relaxed"
1074,caja,nf,"bank, box, safe"
1075,prestar,v,to lend
1076,insistir,v,to insist on
1077,puerto,nm,"port, harbor"
1078,clásico,adj,classic
1079,superar,v,"to overcome, surpass"
1080,identificar,v,to identify
1081,juicio,nm,judgment
1082,exactamente,adv,exactly
1083,esposa,nf,wife
1084,sencillo,adj,"simple, plain, easy"
1085,beber,v,to drink
1086,revolución,nf,revolution
1087,rosa,nf,rose
1088,comercio,nm,"commerce, trade"
1089,escena,nf,"scene, stage, setting"
1090,premio,nm,"prize, reward"
1091,cuarenta,num,forty
1092,enfermo,adj,"ill, sick"
1093,superficie,nf,"surface, area"
1094,aquello,pron,that over there (n)
1095,provincia,nf,"province, region"
1096,absoluto,adj,absolute
1097,terreno,nm,"ground, earth, terrain"
1098,respeto,nm,"respect, regard"
1099,técnico,adj,technical
1100,violencia,nf,violence
1101,risa,nf,"laugh, chuckle"
1102,mencionar,v,"to mention, cite"
1103,muerto,adj,dead
1104,numeroso,adj,numerous
1105,muchacha,nf,girl
1106,etapa,nf,"stage, period"
1107,proteger,v,to protect
1108,contemplar,v,to contemplate
1109,moral,adj,moral
1110,interno,adj,internal
1111,mínimo,adj,minimum
1112,instalar,v,to install
1113,presente,nm,present
1114,museo,nm,museum
1115,perfecto,adj,perfect
1116,ataque,nm,"attack, raid"
1117,máquina,nf,machine
1118,durar,v,to last
1119,paciente,nc,patient
1120,lenguaje,nm,"language, speech"
1121,habitante,nm,inhabitant
1122,original,adj,original
1123,consistir,v,to consist of
1124,labor,nf,"labor, work, task"
1125,presión,nf,pressure
1126,analizar,v,to analyze
1127,tono,nm,tone
1128,recuperar,v,"to recuperate, recover"
1129,chica,nf,"girl, female"
1130,esconder,v,"to hide, conceal"
1131,prácticamente,adv,practically
1132,introducir,v,"to introduce, bring in"
1133,individuo,nm,"individual, person"
1134,entero,adj,"entire, whole, complete"
1135,pegar,v,"to hit, stick (on)"
1136,cobrar,v,to charge (money)
1137,circunstancia,nf,circumstance
1138,doce,num,twelve
1139,verano,nm,summer
1140,encima,adv,"above, on top, in addition"
1141,nota,nf,"note, grade"
1142,velocidad,nf,"speed, velocity"
1143,salida,nf,"exit, escape, outcome"
1144,manifestar,v,"to express, show"
1145,italiano,adj,Italian
1146,hombro,nm,shoulder
1147,administración,nf,administration
1148,transformar,v,"to transform, change"
1149,recursos,nm,resources
1150,septiembre,nm,September
1151,matrimonio,nm,"marriage, married couple"
1152,familiar,adj,"familiar, of the family"
1153,dificultad,nf,"difficulty, obstacle"
1154,víctima,nf,"victim, casualty"
1155,líder,nc,leader
1156,básico,adj,"basic, essential"
1157,equilibrar,v,to balance
1158,participación,nf,"participation, involvement"
1159,idioma,nm,(specific) language
1160,saltar,v,"to jump, leap, hop"
1161,unión,nf,union
1162,ejercicio,nm,"exercise, practice"
1163,hotel,nm,hotel
1164,culpa,nf,"blame, fault"
1165,diciembre,nm,December
1166,inmediato,adj,immediate
1167,régimen,nm,"regime, diet"
1168,juez,nc,judge
1169,beneficio,nm,"benefit, profit"
1170,peligro,nm,"danger, menace"
1171,intención,nf,intention
1172,amiga,nf,friend (f)
1173,enero,nm,January
1174,norma,nf,"standard, pattern, norm"
1175,opción,nf,"option, choice"
1176,americano,adj,American
1177,independiente,adj,"independent, self-sufficient"
1178,acceso,nm,"access, entry"
1179,sábado,nm,Saturday
1180,vídeo,nm,video
1181,corte,nmf,"court (f), cut (m)"
1182,manejar,v,"to drive, handle"
1183,seco,adj,"dry, arid"
1184,ordenar,v,"to put in order, organize"
1185,completamente,adv,completely
1186,indio,nm,Indian
1187,caber,v,to fit (into)
1188,positivo,adj,positive
1189,lista,nf,"list, roster, roll"
1190,coche,nm,"car, carriage"
1191,respetar,v,to respect
1192,inversión,nf,"investment, outlay"
1193,directamente,adv,"directly, straight away"
1194,límite,nm,limit
1195,jardín,nm,garden
1196,placer,nm,pleasure
1197,patio,nm,"courtyard, playground, yard"
1198,encargar,v,"to entrust, [se] take charge of"
1199,concluir,v,"to conclude, finish"
1200,asistir,v,to attend
1201,cerrado,adj,closed
1202,encantar,v,to be very pleasing to
1203,literario,adj,literary
1204,seguramente,adv,"surely, securely"
1205,tía,nf,aunt
1206,comienzo,nm,"start, beginning"
1207,lectura,nf,reading
1208,asumir,v,"to assume, take on"
1209,componer,v,"to compose, be part of"
1210,propósito,nm,"intention, purpose"
1211,abogado,nm/f,lawyer
1212,funcionario,nm/f,civil servant
1213,hogar,nm,"home, hearth"
1214,cocina,nf,kitchen
1215,quince,num,fifteen
1216,merecer,v,"to deserve, be worthy (of)"
1217,masa,nf,"mass, dough, bulk, crowd"
1218,revelar,v,"to reveal, disclose"
1219,reflejar,v,to reflect
1220,alegría,nf,"joy, happiness"
1221,exponer,v,"to expound, expose"
1222,tradicional,adj,traditional
1223,adecuado,adj,"adequate, suitable"
1224,relacionar,v,to relate
1225,dominar,v,"to dominate, master"
1226,pese,conj,in spite of
1227,británico,adj,British
1228,enterar,v,to find out [se]
1229,fenómeno,nm,phenomenon
1230,musical,adj,musical
1231,marzo,nm,March
1232,espejo,nm,"mirror, reflection"
1233,obstante,adv,"however, nevertheless"
1234,ejercer,v,"to practice, exercise"
1235,periodista,nc,journalist
1236,ministerio,nm/f,ministry
1237,situar,v,"to situate, place, locate"
1238,género,nm,"sort, gender, genre"
1239,dueño,nm,"owner, landlord (m)"
1240,luna,nf,moon
1241,tender,v,"to tend to, lay out"
1242,octubre,nm,October
1243,concreto,adj,"concrete, real"
1244,plazo,nm,"deadline, installment"
1245,hola,interj,"hello, hi"
1246,terrible,adj,terrible
1247,recomendar,v,to recommend
1248,aprobar,v,"to pass (test), approve"
1249,incorporar,v,"to incorporate, include"
1250,comisión,nf,"commission, committee"
1251,bien,nm,"goods, property, benefit"
1252,sexual,adj,sexual
1253,diverso,adj,"different, various, several"
1254,arrastrar,v,"to drag, pull"
1255,acostumbrar,v,to be accustomed to
1256,conmigo,pron,with me
1257,informe,nm,report
1258,congreso,nm,congress
1259,viernes,nm,Friday
1260,cercano,adj,near
1261,disco,nm,"disc, disk, record"
1262,hambre,nf (el),"hunger, starvation"
1263,eliminar,v,"to eliminate, exclude"
1264,declaración,nf,"declaration, statement"
1265,web,nm,"Internet, web"
1266,victoria,nf,"victory, triumph"
1267,propuesta,nf,"proposal, proposition"
1268,bastar,v,to be sufficient
1269,soñar,v,to dream
1270,implicar,v,"to implicate, imply"
1271,silla,nf,"chair, seat"
1272,describir,v,to describe
1273,marcha,nf,"march, progress"
1274,impresión,nf,"impression, printing"
1275,comunicar,v,to communicate
1276,marca,nf,"mark, brand, trademark"
1277,ritmo,nm,rhythm
1278,activo,adj,active
1279,robar,v,"to rob, steal"
1280,canal,nm,"channel, canal"
1281,corriente,nf,"current, flow"
1282,poesía,nf,"poetry, poem"
1283,destruir,v,"to destroy, ruin"
1284,reciente,adj,recent
1285,fundar,v,"to found, base"
1286,doble,adj,double
1287,tendencia,nf,"tendency, style"
1288,vehículo,nm,"vehicle, car"
1289,temer,v,to fear
1290,aparte,adv,"apart, aside, separately"
1291,actualidad,nf,present (time)
1292,solicitar,v,"to solicit, request"
1293,reacción,nf,reaction
1294,contribuir,v,to contribute
1295,sorpresa,nf,surprise
1296,envolver,v,to wrap
1297,pérdida,nf,loss
1298,cuello,nm,"neck, collar"
1299,compromiso,nm,"compromise, engagement"
1300,ángel,nm,angel
1301,comprobar,v,"to verify, prove"
1302,rechazar,v,to reject
1303,cargar,v,"to load (up), carry"
1304,raíz,nf,root
1305,integrar,v,"to integrate, fit in"
1306,temperatura,nf,temperature
1307,señal,nf,"sign, mark, token"
1308,financiero,adj,financial
1309,frecuencia,nf,frequency
1310,discutir,v,"to argue, discuss"
1311,banda,nf,"(musical) band, sash"
1312,confirmar,v,to confirm
1313,transmitir,v,"to transmit, broadcast"
1314,arreglar,v,"to fix, arrange"
1315,secretario,nm/f,secretary
1316,candidato,nm,candidate
1317,exposición,nf,"exhibition, display"
1318,apuntar,v,"to point, note, aim"
1319,daño,nm,"harm, injury, damage"
1320,club,nm,"club, society"
1321,atravesar,v,to cross
1322,novio,nm,"boyfriend, groom"
1323,bailar,v,to dance
1324,llamada,nf,"call, knock"
1325,cruz,nf,"cross, burden"
1326,punta,nf,"tip, point"
1327,juventud,nf,youth
1328,acaso,adv,"by chance, maybe"
1329,pintar,v,to paint
1330,industrial,adj,industrial
1331,torno,prep,en t. a: around
1332,lindo,adj,"pretty, nice, lovely"
1333,intelectual,adj,intellectual
1334,derecho,adj,"right, straight"
1335,referencia,nf,"reference, allusion"
1336,sujeto,nm,"subject, individual"
1337,despedir,v,"to say goodbye (to), dismiss"
1338,religión,nf,religion
1339,probablemente,adv,probably
1340,baño,nm,"bathroom, bath, swim"
1341,enseñanza,nf,"teaching, instruction"
1342,pan,nm,bread
1343,aportar,v,"to provide, contribute"
1344,vino,nm,wine
1345,demanda,nf,"petition, request, demand"
1346,extraordinario,adj,"extraordinary, exceptional"
1347,adoptar,v,to adopt
1348,desconocido,adj,unknown
1349,chino,adj,Chinese
1350,fotografía,nf,photograph
1351,golpear,v,"to hit, strike"
1352,izquierda,nf,left
1353,constante,adj,constant
1354,parque,nm,park
1355,introducción,nf,introduction
1356,temporada,nf,"season, period, time"
1357,denominar,v,"to call, name"
1358,dispuesto,adj,"willing, ready"
1359,huir,v,"to flee, run away"
1360,dirigente,nc,"leader, director, manager"
1361,célula,nf,cell (biology)
1362,católico,adj,Catholic
1363,voto,nm,vote
1364,lector,nm,"reader, lecturer"
1365,diente,nm,"tooth, cog"
1366,debajo,prep,"underneath, below"
1367,papa,nmf,"Pope (m), potato (f)"
1368,requerir,v,to require
1369,universitario,adj,university
1370,lunes,nm,Monday
1371,triste,adj,"sad, unhappy"
1372,belleza,nf,beauty
1373,explicación,nf,explanation
1374,filosofía,nf,philosophy
1375,desnudo,adj,"nude, naked"
1376,limitar,v,to limit
1377,molestar,v,"to bother, disturb, upset"
1378,clave,nf,key
1379,proporcionar,v,to supply
1380,regla,nf,"rule, ruler, regulation"
1381,amarillo,adj,yellow
1382,líquido,nm,liquid
1383,cadena,nf,chain
1384,barco,nm,"boat, ship"
1385,dividir,v,to divide
1386,marchar,v,"to go, leave, march"
1387,generalmente,adv,"generally, usually"
1388,político,nm/f,politician
1389,diseño,nm,design
1390,confianza,nf,"confidence, trust"
1391,legal,adj,legal
1392,escenario,nm,"stage, setting, scene"
1393,general,nm,general
1394,específico,adj,specific
1395,extremo,nm,"edge, border, end"
1396,intento,nm,"attempt, try"
1397,leche,nf,milk
1398,crítica,nf,"criticism, critique"
1399,avión,nm,"plane, airplane, aircraft"
1400,transporte,nm,"transportation, transport"
1401,ventaja,nf,"advantage, benefit"
1402,artístico,adj,artistic
1403,someter,v,to subject
1404,estación,nf,"station, season"
1405,representante,nc,representative
1406,moda,nf,"fashion, form"
1407,entidad,nf,entity
1408,temor,nm,fear
1409,cometer,v,to commit
1410,competencia,nf,"competition, contest"
1411,eléctrico,adj,electric
1412,distinguir,v,to distinguish
1413,afuera,adv,outside
1414,aumento,nm,"increase, rise"
1415,federal,adj,federal
1416,girar,v,"to rotate, revolve"
1417,griego,adj,Greek
1418,imposible,adj,impossible
1419,febrero,nm,February
1420,regalar,v,to give (as a gift)
1421,interpretar,v,to interpret
1422,diario,adj,daily
1423,batalla,nf,battle
1424,consumo,nm,consumption
1425,protección,nf,protection
1426,vencer,v,"to overcome, conquer"
1427,devolver,v,"to return, give back"
1428,agradecer,v,to thank for
1429,occidental,adj,"occidental, Western"
1430,poema,nm,poem
1431,encender,v,to turn on
1432,contrato,nm,"contract, agreement"
1433,lágrima,nf,"tear, teardrop"
1434,noviembre,nm,November
1435,carga,nf,"load, charge, cargo"
1436,educativo,adj,educational
1437,arrancar,v,"to start (machine), uproot"
1438,doña,nf,"courtesy title (f), Mrs."
1439,inicio,nm,"beginning, start"
1440,citar,v,"to cite, quote"
1441,oposición,nf,opposition
1442,marco,nm,"frame, mark, setting"
1443,médico,adj,medical
1444,bosque,nm,forest
1445,nombrar,v,"to name, appoint"
1446,montar,v,"to ride, mount, assemble"
1447,empleo,nm,"work, job, occupation"
1448,emoción,nf,"emotion, excitement"
1449,edición,nf,"edition, publication"
1450,sumar,v,"to add up, amount to"
1451,primo,nm,cousin
1452,obligación,nf,obligation
1453,acudir,v,"to attend, go to, frequent"
1454,gestión,nf,"management, step, negotiation"
1455,atrever,v,to dare
1456,concierto,nm,"concert, concerto"
1457,asociación,nf,association
1458,constitución,nf,constitution
1459,imperio,nm,"empire, fortune"
1460,estrategia,nf,strategy
1461,prometer,v,to promise
1462,preciso,adj,"precise, necessary"
1463,sexo,nm,sex
1464,montaña,nf,mountain
1465,elevar,v,"to elevate, raise"
1466,diálogo,nm,"dialogue, conversation"
1467,correcto,adj,"correct, suitable"
1468,volar,v,to fly
1469,inmediatamente,adv,immediately
1470,categoría,nf,category
1471,fútbol,nm,soccer
1472,romano,adj,Roman
1473,soldado,nm/f,soldier
1474,medicina,nf,medicine
1475,playa,nf,"beach, seaside"
1476,reino,nm,"kingdom, reign"
1477,zapato,nm,shoe
1478,muestra,nf,"proof, sample, sign"
1479,intenso,adj,"intense, acute"
1480,absolutamente,adv,"absolutely, completely"
1481,total,nm,(sum) total
1482,campesino,nm/f,"peasant, farmer"
1483,admitir,v,to admit
1484,democracia,nf,democracy
1485,misión,nf,"mission, task"
1486,exacto,adj,"exact, faithful, true"
1487,complejo,adj,"complex, complicated"
1488,tren,nm,"train, convoy"
1489,deporte,nm,sport
1490,secreto,nm,secret
1491,criterio,nm,criterion
1492,discurso,nm,"lecture, discourse, talk"
1493,agente,nc,agent
1494,fresco,adj,"cool, healthy, fresh"
1495,soledad,nf,"loneliness, solitude"
1496,planeta,nm,planet
1497,búsqueda,nf,search
1498,pasión,nf,"passion, desire"
1499,nube,nf,cloud
1500,dudar,v,to (have) doubt
1501,dado,conj,d. que: given that
1502,aproximadamente,adv,approximately
1503,indígena,adj,"indigenous, native"
1504,atacar,v,to attack
1505,aclarar,v,"to clarify, clear up"
1506,perdonar,v,"to forgive, excuse"
1507,frontera,nf,"border, frontier"
1508,soportar,v,"to endure, stand (something)"
1509,rápidamente,adv,"rapidly, quickly"
1510,cabello,nm,hair
1511,justo,adv,just
1512,amistad,nf,friendship
1513,profesión,nf,"profession, occupation"
1514,copa,nf,"cup, glass, top (tree)"
1515,tienda,nf,"shop, store, tent"
1516,gas,nm,gas
1517,evento,nm,event
1518,soltar,v,"to release, loosen, let out"
1519,kilómetro,nm,kilometer
1520,círculo,nm,"circle, club"
1521,nervioso,adj,"nervous, uptight"
1522,salvo,prep,"except for, but"
1523,atraer,v,to attract
1524,callar,v,to be/make quiet
1525,fiel,adj,"faithful, loyal"
1526,maravilloso,adj,"wonderful, marvelous"
1527,vivienda,nf,"housing, dwelling"
1528,mecanismo,nm,mechanism
1529,pago,nm,payment
1530,comité,nm,"committee, commission"
1531,preocupación,nf,"worry, concern"
1532,hundir,v,"to sink, submerge"
1533,actor,nm,actor
1534,inmenso,adj,"immense, vast, huge"
1535,cifra,nf,"figure, number, amount"
1536,esquina,nf,corner
1537,municipio,nm,"municipality, town"
1538,conclusión,nf,"conclusion, end"
1539,trasladar,v,"to move, transfer"
1540,emitir,v,"to emit, give (off)"
1541,posterior,adj,"rear, backside"
1542,facultad,nf,"faculty, ability"
1543,auto,nm,"auto, car"
1544,escaso,adj,"scarce, very little"
1545,inventar,v,"to invent, make up"
1546,excelente,adj,excellent
1547,opinar,v,"to think, be of the opinion"
1548,disposición,nf,"disposal, disposition"
1549,ajeno,adj,"not belonging to, detached"
1550,personalidad,nf,"personality, celebrity"
1551,definitivo,adj,"definitive, conclusive"
1552,intervenir,v,to intervene
1553,humanidad,nf,"humanity, mankind"
1554,perseguir,v,"to persecute, pursue, chase"
1555,coincidir,v,"to coincide, agree"
1556,nuevamente,adv,"anew, again"
1557,rama,nf,"branch, bough, limb"
1558,instituto,nm,institute
1559,herramienta,nf,tool
1560,grabar,v,"to record, engrave"
1561,perfectamente,adv,perfectly
1562,avance,nm,"advance, progress"
1563,entrevista,nf,"interview, meeting"
1564,tardar,v,"to delay, take long"
1565,vamos,interj,come on
1566,apartar,v,"to move away, separate"
1567,mezclar,v,to mix
1568,volumen,nm,volume
1569,lento,adj,slow
1570,nariz,nf,nose
1571,investigar,v,to investigate
1572,peligroso,adj,dangerous
1573,derecha,nf,"right, right hand"
1574,adulto,nm,"adult, grown-up"
1575,saludar,v,"to greet, say hello"
1576,techo,nm,roof
1577,moneda,nf,"coins, currency"
1578,temprano,adj,early
1579,percibir,v,"to perceive, notice"
1580,beso,nm,kiss
1581,bolsa,nf,"bag, purse, stock exchange"
1582,fijo,adj,"fixed, steady"
1583,aun,adv,"even (though), still"
1584,lejano,adj,distant
1585,vacío,adj,"empty, vacant"
1586,quinto,adj,fifth
1587,ingresar,v,"to join, deposit, admit"
1588,sesenta,num,sixty
1589,relato,nm,"tale, story"
1590,ése,pron,"that one (m), [ésa (f)]"
1591,besar,v,to kiss
1592,publicación,nf,publication
1593,cerebro,nm,brain
1594,conferencia,nf,"conference, lecture"
1595,practicar,v,to practice
1596,ingreso,nm,"entrance, admission, income"
1597,comparar,v,to compare
1598,evolución,nf,"evolution, development"
1599,falso,adj,FALSE
1600,droga,nf,drug
1601,promover,v,to promote
1602,adentro,adv,inside
1603,universo,nm,universe
1604,llegada,nf,arrival
1605,registrar,v,"to register, record"
1606,proceder,v,"to proceed, start"
1607,pájaro,nm,bird
1608,poderoso,adj,powerful
1609,vaso,nm,"(drinking) glass, vase"
1610,laboral,adj,"labor, industry"
1611,colombiano,adj,Colombian
1612,biblioteca,nf,library
1613,consiguiente,conj,por c.: consequently
1614,alzar,v,"to lift, raise"
1615,garantizar,v,to guarantee
1616,comportamiento,nm,"behavior, conduct"
1617,plano,nm,"plane, map, level"
1618,ausencia,nf,absence
1619,electrónico,adj,electronic
1620,fase,nf,"phase, stage"
1621,agarrar,v,"to grasp, catch"
1622,espectáculo,nm,"spectacle, show"
1623,selección,nf,"selection, choice"
1624,etcétera,n,etcetera
1625,oscuridad,nf,darkness
1626,intervención,nf,intervention
1627,arquitectura,nf,architecture
1628,procedimiento,nm,"procedure, proceedings"
1629,doler,v,to hurt
1630,animar,v,to cheer up
1631,iniciativa,nf,initiative
1632,colección,nf,collection
1633,ámbito,nm,"sphere, space"
1634,confundir,v,to confuse
1635,químico,adj,chemical
1636,evidente,adj,"evident, obvious"
1637,democrático,adj,democratic
1638,correo,nm,"mail, post (office)"
1639,unido,adj,united
1640,representación,nf,representation
1641,prohibir,v,"to prohibit, forbid"
1642,increíble,adj,"incredible, unbelievable"
1643,polvo,nm,"dust, powder"
1644,delito,nm,"crime, offense"
1645,ruso,adj,Russian
1646,saludo,nm,greeting
1647,ocultar,v,to hide
1648,quemar,v,to burn
1649,hueso,nm,bone
1650,jueves,nm,Thursday
1651,perspectiva,nf,perspective
1652,interrumpir,v,to interrupt
1653,tribunal,nm,court
1654,guardia,nc,"guard, watch, lookout"
1655,confiar,v,"to trust, confide"
1656,crédito,nm,"credit, reputation"
1657,principalmente,adv,"principally, mainly"
1658,valle,nm,valley
1659,oído,nm,"hearing, ear"
1660,conducta,nf,"conduct, behavior"
1661,accidente,nm,"accident, irregularity"
1662,compra,nf,"shopping, buy, purchase"
1663,brindar,v,to offer
1664,modificar,v,to modify
1665,debate,nm,debate
1666,facilitar,v,to facilitate
1667,encerrar,v,to shut (in)
1668,acontecimiento,nm,"event, happening"
1669,colgar,v,to hang (up)
1670,ignorar,v,to be unaware
1671,felicidad,nf,happiness
1672,arena,nf,sand
1673,mentira,nf,lie
1674,argumento,nm,"argument, plot"
1675,clima,nm,climate
1676,lavar,v,to wash
1677,anciano,nm/f,old person
1678,influir,v,to (have) influence
1679,gordo,adj,"fat, thick"
1680,sugerir,v,"to suggest, hint at"
1681,electoral,adj,electoral
1682,experimentar,v,"to experience, experiment"
1683,reloj,nm,"clock, watch"
1684,listo,adj,"ready, clever, smart"
1685,paisaje,nm,landscape
1686,norteamericano,adj,North American
1687,abrazar,v,"to hug, embrace"
1688,sección,nf,"section, cut"
1689,traje,nm,"suit, dress, costume"
1690,independencia,nf,independence
1691,breve,adj,"brief, short"
1692,individual,adj,individual
1693,segundo,nm,second
1694,equivocar,v,to be wrong
1695,investigador,nm/f,"researcher, investigator"
1696,normalmente,adv,normally
1697,vestido,nm,dress
1698,confesar,v,"to confess, admit"
1699,discusión,nf,"discussion, argument"
1700,once,num,eleven
1701,cristal,nm,"glass, crystal, window"
1702,permanente,adj,permanent
1703,urbano,adj,"urban, city, urbane"
1704,gozar,v,to enjoy
1705,palacio,nm,palace
1706,infantil,adj,"of children, childlike, infantile"
1707,costo,nm,"price, cost, expense"
1708,firma,nf,"company, signature, signing"
1709,órgano,nm,organ
1710,limpio,adj,clean
1711,científico,nm/f,scientist
1712,acusar,v,to accuse
1713,limpiar,v,to clean
1714,privar,v,to deprive (of)
1715,puente,nm,bridge
1716,signo,nm,"sign, mark, symbol"
1717,tuyo,pron,yours (sg/ + fam)
1718,carretera,nf,"highway, road"
1719,orquesta,nf,"orchestra, dance band"
1720,hierro,nm,iron
1721,inteligencia,nf,intelligence
1722,salón,nm,"hall, room"
1723,femenino,adj,"feminine, female"
1724,ciclo,nm,cycle
1725,aparato,nm,"apparatus, device"
1726,dibujo,nm,"drawing, sketch"
1727,revolucionario,adj,revolutionary
1728,gato,nm,cat
1729,perdón,nm,"forgiveness, pardon"
1730,capítulo,nm,chapter
1731,cero,num,"zero, naught, nil"
1732,deuda,nf,debt
1733,ilusión,nf,"illusion, hope, dream"
1734,honor,nm,"honor, honesty"
1735,oferta,nf,"offer, bid, supply"
1736,montón,nm,"lot of, heap, pile"
1737,auténtico,adj,authentic
1738,capa,nf,"layer, coat"
1739,vuelo,nm,flight
1740,resistir,v,"to resist, endure"
1741,pasear,v,"to go for a walk, ride"
1742,delante,adv,"(in) front (of), ahead"
1743,revisar,v,"to check, revise, inspect"
1744,código,nm,code
1745,disminuir,v,"to decrease, diminish"
1746,habitual,adj,"usual, habitual, customary"
1747,presentación,nf,"presentation, introduction"
1748,vuestro,adj,your (pl/ + fam)
1749,descansar,v,to rest
1750,nacimiento,nm,"birth, origin"
1751,gris,adj,"gray, gloomy"
1752,judío,nm/f,Jew
1753,inútil,adj,useless
1754,estimar,v,"to estimate, hold in esteem"
1755,largo,nm,"a lo l.: throughout, length"
1756,posteriormente,adv,afterwards
1757,absurdo,adj,absurd
1758,respirar,v,to breathe
1759,ubicar,v,"to find, locate"
1760,dominio,nm,"power, control"
1761,eterno,adj,eternal
1762,presupuesto,nm,budget
1763,división,nf,division
1764,metal,nm,metal
1765,efectivo,adj,effective
1766,apretar,v,"to squeeze, tighten, compress"
1767,resistencia,nf,"resistance, opposition"
1768,acceder,v,"to consent, agree, accede"
1769,operar,v,to operate
1770,empleado,nm,employee
1771,variar,v,"to change, vary"
1772,previo,adj,previous
1773,aventura,nf,adventure
1774,capitán,nm,"captain, chief"
1775,otorgar,v,"to give, grant, award"
1776,precioso,adj,"beautiful, precious"
1777,asimismo,adv,"as well, also, moreover"
